#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 33 999 99.0 99.0  0.93 14.29 10.74 267 9999.0 999.0  15.9 999.0 99.0 99.00
2014 01 01 01 03 999 99.0 99.0  1.06 16.67 11.63 277 9999.0 999.0  15.8 999.0 99.0 99.00
2014 01 01 01 33 999 99.0 99.0  0.98 15.38 11.42 285 9999.0 999.0  15.8 999.0 99.0 99.00
2014 01 01 02 03 999 99.0 99.0  0.97 15.38 11.39 277 9999.0 999.0  15.8 999.0 99.0 99.00
2014 01 01 02 33 999 99.0 99.0  1.16 15.38 12.11 281 9999.0 999.0  15.8 999.0 99.0 99.00
2014 01 01 03 03 999 99.0 99.0  1.10 15.38 12.05 275 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 03 33 999 99.0 99.0  1.03 14.29 11.31 273 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 04 03 999 99.0 99.0  1.06 14.29 11.14 280 9999.0 999.0  15.7 999.0 99.0 99.00
2014 01 01 04 33 999 99.0 99.0  0.95 16.67 10.18 271 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 05 03 999 99.0 99.0  1.00 16.67 10.49 273 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 05 33 999 99.0 99.0  0.91 16.67  9.68 264 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 06 03 999 99.0 99.0  0.88 15.38  9.42 273 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 06 33 999 99.0 99.0  0.92 15.38  9.44 270 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 07 03 999 99.0 99.0  0.99 15.38  9.69 270 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 07 33 999 99.0 99.0  0.94 15.38  9.58 274 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 08 03 999 99.0 99.0  0.94 14.29  9.14 275 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 08 33 999 99.0 99.0  0.97 15.38  9.17 268 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 09 03 999 99.0 99.0  1.01 16.67  9.73 270 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 09 33 999 99.0 99.0  0.98 16.67  9.32 274 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 10 03 999 99.0 99.0  0.95 16.67  9.33 271 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 10 33 999 99.0 99.0  0.90 14.29  8.94 270 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 01 11 03 999 99.0 99.0  0.98 15.38  9.52 271 9999.0 999.0  15.6 999.0 99.0 99.00
